scenario_id,status,pairs_count,relays_count,optimized_relays,tmt_before,tmt_after,tmt_improvement,tmt_improvement_pct,coordination_before,coordination_after,coordination_pct_before,coordination_pct_after,avg_tds,std_tds,min_tds,max_tds,avg_pickup,std_pickup,min_pickup,max_pickup,fault_types,optimization_efficiency
scenario_21,❌ EMPEORÓ,100,74,74,15.9922,20.684592,-4.692392,-29.34,12,63,12.0,63.0,0.48776,0.18019,0.07358,0.79078,0.43933,0.56062,0.05573,3.71788,2,100.0
scenario_16,❌ EMPEORÓ,98,73,73,16.0796,20.812964,-4.733364,-29.44,9,68,9.0,68.0,0.4376,0.19121,0.05169,0.79374,0.16968,0.11575,0.01926,0.61819,2,100.0
scenario_4,❌ EMPEORÓ,100,74,74,15.2305,19.992534,-4.762034,-31.27,13,72,13.0,72.0,0.42967,0.18806,0.05813,0.78333,0.43881,0.44734,0.0525,2.64123,2,100.0
scenario_40,❌ EMPEORÓ,98,73,73,13.5717,18.344391,-4.772691,-35.17,11,69,11.0,69.0,0.46226,0.2048,0.0579,0.79915,0.1663,0.10511,0.01831,0.57717,2,100.0
scenario_25,❌ EMPEORÓ,100,74,74,15.6964,20.588029,-4.891629,-31.16,12,62,12.0,62.0,0.43714,0.19874,0.07607,0.78852,0.51951,0.56164,0.0515,3.55944,2,100.0
scenario_64,❌ EMPEORÓ,100,74,74,15.3634,20.338749,-4.975349,-32.38,11,69,11.0,69.0,0.43102,0.17726,0.0511,0.79849,0.4692,0.52169,0.05015,3.38855,2,100.0
scenario_6,❌ EMPEORÓ,98,73,73,14.8113,19.806417,-4.995117,-33.73,11,73,11.0,73.0,0.45182,0.19257,0.07546,0.79766,0.16095,0.11227,0.03183,0.58787,2,100.0
scenario_33,❌ EMPEORÓ,100,74,74,15.541,20.702617,-5.161617,-33.21,12,70,12.0,70.0,0.41887,0.17677,0.0765,0.79935,0.43087,0.38807,0.05364,2.49376,2,100.0
scenario_66,❌ EMPEORÓ,100,74,74,14.9448,20.564142,-5.619342,-37.6,14,73,14.0,73.0,0.39256,0.19603,0.06124,0.79453,0.4422,0.53038,0.05188,3.52706,2,100.0
scenario_58,❌ EMPEORÓ,100,74,74,15.2593,20.933777,-5.674477,-37.19,12,73,12.0,73.0,0.39851,0.18403,0.06545,0.78534,0.46612,0.49768,0.0502,2.99185,2,100.0
scenario_56,❌ EMPEORÓ,100,74,74,14.9869,20.756118,-5.769218,-38.5,12,71,12.0,71.0,0.4107,0.21198,0.08287,0.79845,0.52222,0.76689,0.054,5.41431,2,100.0
scenario_49,❌ EMPEORÓ,98,73,73,13.9959,19.774166,-5.778266,-41.29,9,67,9.0,67.0,0.39733,0.19485,0.07388,0.78908,0.15543,0.10672,0.01031,0.55903,2,100.0
scenario_61,❌ EMPEORÓ,100,74,74,15.4256,21.344916,-5.919316,-38.37,11,72,11.0,72.0,0.40742,0.18834,0.07994,0.78404,0.42645,0.42341,0.05717,2.03989,2,100.0
scenario_37,❌ EMPEORÓ,97,73,73,14.3807,20.453563,-6.072863,-42.23,8,71,8.0,71.0,0.41529,0.17408,0.08553,0.76912,0.15107,0.10213,0.02648,0.58851,2,100.0
scenario_53,❌ EMPEORÓ,100,74,74,15.5084,21.668177,-6.159777,-39.72,9,66,9.0,66.0,0.42684,0.18797,0.05887,0.78821,0.51215,0.82138,0.05002,5.41291,2,100.0
scenario_10,❌ EMPEORÓ,98,73,73,13.612,19.812123,-6.200123,-45.55,12,72,12.0,72.0,0.41019,0.20292,0.0658,0.7995,0.15348,0.10189,0.01156,0.54198,2,100.0
scenario_36,❌ EMPEORÓ,100,74,74,15.6951,21.942887,-6.247787,-39.81,10,71,10.0,71.0,0.40539,0.19679,0.07787,0.77675,0.46318,0.6685,0.05823,3.79105,2,100.0
scenario_3,❌ EMPEORÓ,97,73,73,13.5446,19.935995,-6.391395,-47.19,11,65,11.0,65.0,0.42275,0.19714,0.05893,0.79145,0.15144,0.08392,0.01717,0.38758,2,100.0
scenario_55,❌ EMPEORÓ,100,74,74,15.0913,21.854974,-6.763674,-44.82,15,65,15.0,65.0,0.399,0.17846,0.07184,0.78612,0.48197,0.69658,0.05637,5.23964,2,100.0
scenario_32,❌ EMPEORÓ,100,74,74,15.8046,23.330249,-7.525649,-47.62,11,69,11.0,69.0,0.44983,0.19509,0.06895,0.78119,0.46025,0.34833,0.05464,1.60155,2,100.0
scenario_68,❌ EMPEORÓ,100,74,74,15.0429,22.628625,-7.585725,-50.43,16,65,16.0,65.0,0.40637,0.19212,0.05134,0.77085,0.42444,0.51461,0.05368,3.54369,2,100.0
scenario_51,❌ EMPEORÓ,98,73,73,13.7905,21.541732,-7.751232,-56.21,12,73,12.0,73.0,0.39221,0.19838,0.05259,0.79569,0.16677,0.10557,0.01362,0.57044,2,100.0
