scenario_id,status,pairs_count,relays_count,optimized_relays,avg_tds,std_tds,min_tds,max_tds,avg_pickup,std_pickup,min_pickup,max_pickup,fault_types,optimization_efficiency
scenario_30,success,100,74,74,0.4520495945945946,0.19237097076502704,0.06123,0.79103,0.4997545945945946,0.6572158546108446,0.05228,4.64032,2,100.0
scenario_31,success,100,74,74,0.4349370270270271,0.1965500404527362,0.08495,0.79219,0.4657818918918919,0.5265876426339675,0.05291,3.55074,2,100.0
scenario_32,success,100,74,74,0.4498316216216216,0.19509360413157067,0.06895,0.78119,0.46025270270270263,0.3483342713477933,0.05464,1.60155,2,100.0
scenario_33,success,100,74,74,0.41887108108108106,0.17676743661511843,0.0765,0.79935,0.4308695945945945,0.38807283788818875,0.05364,2.49376,2,100.0
scenario_34,success,100,74,74,0.3765447297297298,0.18240610438474597,0.07889,0.77698,0.5112674324324326,0.6072155217322732,0.05992,4.14151,2,100.0
scenario_35,success,100,74,74,0.43186270270270266,0.1952898639050341,0.07592,0.78731,0.47215391891891895,0.5041736951118634,0.06283,3.60415,2,100.0
scenario_36,success,100,74,74,0.4053867567567567,0.1967931283552852,0.07787,0.77675,0.4631847297297297,0.6685049654856582,0.05823,3.79105,2,100.0
scenario_37,success,97,73,73,0.41529342465753427,0.174082106861583,0.08553,0.76912,0.15106561643835617,0.10212641348578398,0.02648,0.58851,2,100.0
scenario_38,success,97,73,73,0.4319413698630137,0.1707679505822702,0.11478,0.77031,0.17967986301369865,0.11757814904504131,0.02219,0.62867,2,100.0
scenario_39,success,97,73,73,0.4541332876712329,0.168188089963676,0.16366,0.78214,0.16371726027397263,0.11942696013125567,0.02468,0.63331,2,100.0
scenario_40,success,98,73,73,0.46225712328767127,0.20480039504911232,0.0579,0.79915,0.16630109589041095,0.10511178347928593,0.01831,0.57717,2,100.0
scenario_41,success,97,73,73,0.39996164383561644,0.16834001830943554,0.06472,0.75968,0.1772169863013699,0.09737696326379902,0.01558,0.4746,2,100.0
scenario_42,success,97,73,73,0.3987835616438356,0.17804607072997478,0.07719,0.77901,0.13293315068493153,0.08253149089107334,0.01438,0.47815,2,100.0
scenario_43,success,97,73,73,0.3951217808219178,0.19285880885150977,0.0524,0.77451,0.1722,0.10775842472229323,0.02046,0.4678,2,100.0
scenario_44,success,97,73,73,0.3759831506849315,0.16787013036319293,0.05468,0.74359,0.15202109589041096,0.09488049923870197,0.02407,0.49258,2,100.0
scenario_45,success,97,73,73,0.4482824657534247,0.18654551697510477,0.06218,0.78745,0.16680739726027394,0.10716488501788717,0.01823,0.52353,2,100.0
scenario_46,success,97,73,73,0.4678697260273973,0.18427246995546184,0.05945,0.79244,0.17420424657534248,0.11348028425609143,0.02518,0.63139,2,100.0
scenario_47,success,97,73,73,0.39606643835616434,0.17580987931293005,0.07931,0.78913,0.16511712328767125,0.10998560073226338,0.0337,0.53045,2,100.0
scenario_48,success,97,73,73,0.4389435616438356,0.18140098290327314,0.10003,0.77058,0.18189657534246578,0.1161562603791032,0.0269,0.56742,2,100.0
scenario_49,success,98,73,73,0.3973283561643836,0.19485160276135188,0.07388,0.78908,0.15542739726027396,0.10672381824549278,0.01031,0.55903,2,100.0
scenario_50,success,98,73,73,0.4539842465753425,0.1981550402534768,0.05369,0.79794,0.15516328767123286,0.11002616775990584,0.0125,0.59301,2,100.0
scenario_51,success,98,73,73,0.3922115068493151,0.19838102691587003,0.05259,0.79569,0.16677369863013697,0.10556740234089813,0.01362,0.57044,2,100.0
scenario_52,success,98,73,73,0.3995943835616438,0.19274318357249653,0.05189,0.755,0.158533698630137,0.10486487702879999,0.01223,0.46647,2,100.0
scenario_53,success,100,74,74,0.4268355405405405,0.18796931317366164,0.05887,0.78821,0.5121478378378379,0.8213790635995353,0.05002,5.41291,2,100.0
scenario_54,success,100,74,74,0.41683554054054056,0.1892118350616856,0.06974,0.77862,0.4517893243243244,0.6396628629700626,0.05292,4.34627,2,100.0
scenario_55,success,100,74,74,0.39900175675675675,0.17846076175101247,0.07184,0.78612,0.48196621621621616,0.6965762624430986,0.05637,5.23964,2,100.0
