Escenario,TMT,TMT_Magnitude,Coordinación (%),Total Pares,Mean_DT,Std_DT,Min_DT,Max_DT
scenario_47,-20.794800000000002,20.794800000000002,12.0,100,-0.185549,0.27738012924324623,-1.6867999999999999,1.2523
scenario_48,-19.9803,19.9803,10.0,100,-0.18215199999999998,0.2299552380268821,-1.3547,0.9393
scenario_49,-17.756400000000003,17.756400000000003,11.0,100,-0.15096500000000002,0.24932145851290055,-0.493,1.9427999999999999
scenario_5,-24.9475,24.9475,13.0,100,-0.21404900000000002,0.5558390480157003,-3.7164,3.1734999999999998
scenario_50,-17.785600000000002,17.785600000000002,9.0,100,-0.14583800000000002,0.2785074554765096,-0.4963,2.2216
scenario_51,-17.5827,17.5827,14.000000000000002,100,-0.11695800000000002,0.5291335455591528,-0.49920000000000003,4.9506
scenario_52,-17.646800000000002,17.646800000000002,13.0,100,0.266535,4.257345843935515,-0.5025999999999999,42.5852
scenario_53,-15.508400000000002,15.508400000000002,9.0,100,-0.15316600000000002,0.09848892955048298,-0.38370000000000004,0.11030000000000001
scenario_54,-15.3747,15.3747,13.0,100,-0.151062,0.10041465309405793,-0.38339999999999996,0.15089999999999998
scenario_55,-15.0913,15.0913,15.0,100,-0.146147,0.10551757716608166,-0.383,0.2562
scenario_56,-14.9869,14.9869,12.0,100,-0.14361000000000002,0.10980431002469802,-0.38370000000000004,0.3219
scenario_57,-15.263100000000001,15.263100000000001,12.0,100,-0.150311,0.0980440042990901,-0.3929,0.1486
scenario_58,-15.259300000000001,15.259300000000001,12.0,100,-0.14994700000000002,0.09909158032345634,-0.388,0.15729999999999994
scenario_59,-15.161900000000001,15.161900000000001,12.0,100,-0.14771900000000002,0.10282799783619245,-0.3801,0.23499999999999993
scenario_6,-20.974700000000002,20.974700000000002,13.0,100,-0.19232600000000002,0.2803689403696493,-1.8295,1.3780000000000001
scenario_60,-15.0577,15.0577,12.0,100,-0.146225,0.10426558912220273,-0.3765,0.25249999999999995
scenario_61,-15.425600000000001,15.425600000000001,11.0,100,-0.152924,0.09595808264028623,-0.393,0.08149999999999996
scenario_62,-15.330900000000002,15.330900000000002,14.000000000000002,100,-0.15127900000000002,0.09769012569855767,-0.3925,0.12569999999999998
scenario_63,-15.4762,15.4762,15.0,100,-0.153057,0.0970897000252859,-0.3887,0.10520000000000002
scenario_64,-15.363400000000002,15.363400000000002,11.0,100,-0.15126,0.09883499380280245,-0.3883,0.1315
scenario_65,-14.815100000000001,14.815100000000001,15.0,100,-0.13989700000000002,0.11722462322822795,-0.3787,0.4289
scenario_66,-14.9448,14.9448,14.000000000000002,100,-0.142794,0.11147470369550215,-0.376,0.3483
scenario_67,-14.898000000000001,14.898000000000001,14.000000000000002,100,-0.14165,0.11384370118719789,-0.3798,0.38230000000000003
scenario_68,-15.042900000000001,15.042900000000001,16.0,100,-0.14477900000000002,0.1079674435142372,-0.3795,0.293
scenario_7,-17.7863,17.7863,14.000000000000002,100,1.7451750000000001,19.070231927396037,-0.5099,191.48610000000002
scenario_8,-19.0027,19.0027,12.0,100,-0.18047600000000003,0.1742544771992961,-0.9893000000000001,0.5927
scenario_9,-20.1472,20.1472,14.000000000000002,100,-0.176325,0.2925142948216377,-1.9074,1.4432
