Main,Backup,Time_main_before,Time_backup_before,dt_before,coord_before,Time_main_after,Time_backup_after,dt_after,coord_after,improvement
R48,R72,0.2941,0.3011,-0.193,NO,1.9621833494510474,2.6200679141469214,0.45788456469587396,YES,0.650884564695874
R48,R49,0.2941,0.3011,-0.193,NO,1.9621833494510474,2.31806018254431,0.15587683309326245,YES,0.34887683309326245
R50,R51,0.2724,0.2828,-0.1896,NO,1.3949921345603054,1.604136631642521,0.009144497082215597,YES,0.1987444970822156
R36,R17,0.2786,0.2894,-0.18920000000000003,NO,3.1655537505732316,3.5398901529076365,0.1743364023344049,YES,0.36353640233440493
R26,R25,0.2681,0.2793,-0.18880000000000002,NO,1.4028201852623567,1.765948071758872,0.16312788649651527,YES,0.3519278864965153
R57,R58,0.2858,0.2982,-0.1876,NO,1.8369586460242864,2.092723532566686,0.055764886542399805,YES,0.2433648865423998
R41,R42,0.2931,0.3056,-0.18750000000000006,NO,2.374523405591026,2.593640829777975,0.019117424186948895,YES,0.20661742418694895
R57,R33,0.2858,0.2983,-0.1875,NO,1.8369586460242864,2.3992594057178818,0.3623007596935954,YES,0.5498007596935954
R37,R24,0.2711,0.2843,-0.18680000000000002,NO,1.8412637501289082,2.170328098745192,0.12906434861628385,YES,0.3158643486162839
R53,R54,0.2859,0.3002,-0.18569999999999998,NO,1.4545596125779783,1.600652080340556,-0.05390753223742234,NO,0.13179246776257764
R13,R12,0.2698,0.2842,-0.1856,NO,1.767863161769437,2.4824756676262387,0.5146125058568018,YES,0.7002125058568018
R17,R16,0.2776,0.2922,-0.1854,NO,3.1401833017708483,3.3889682631852907,0.048784961414442385,YES,0.2341849614144424
R4,R3,0.2605,0.2754,-0.18510000000000004,NO,2.6985032133736477,3.3202870025819022,0.4217837892082545,YES,0.6068837892082546
R15,R34,0.2676,0.2833,-0.18430000000000002,NO,2.232892636399655,2.757085716282254,0.3241930798825991,YES,0.5084930798825991
R65,R37,0.2715,0.2874,-0.18410000000000004,NO,2.18744169190461,2.43805949470485,0.05061780280024014,YES,0.23471780280024018
R65,R66,0.2715,0.2876,-0.1839,NO,2.18744169190461,2.437752851449225,0.050311159544615236,YES,0.23421115954461524
R51,R34,0.2664,0.2833,-0.18310000000000004,NO,1.440314363762699,2.757085716282254,1.116771352519555,YES,1.299871352519555
R3,R2,0.2554,0.2731,-0.18230000000000002,NO,2.735567860544014,3.5807524115192164,0.6451845509752026,YES,0.8274845509752026
R25,R5,0.2712,0.2896,-0.18159999999999998,NO,1.6132116546045412,2.4558465792445316,0.6426349246399905,YES,0.8242349246399905
