Scenario,Has_Optimization,Total_Pairs,TMT,Coordination_Percentage,Mean_DT,Std_DT,Min_DT,Max_DT,TMT_After,TMT_Improvement,TMT_Improvement_Pct,Coord_After,Coord_Improvement,Mean_DT_After,Std_DT_After
automation_results_scenario_27,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.9378627492481733,1.0192536360381423
automation_results_scenario_30,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00328111839998374,-0.00328111839998374,0.0,99.0,99.0,0.7891247706910951,1.1001609171910882
automation_results_scenario_25,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.7322961067983941,1.2136238937341264
automation_results_scenario_54,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08895022389226209,-0.08895022389226209,0.0,93.0,93.0,0.7888181139554059,1.0174225343822128
automation_results_scenario_41,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4240241886721225,-5.4240241886721225,0.0,98.0,98.0,inf,
automation_results_scenario_49,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-4.180731299483418,-4.180731299483418,0.0,93.0,93.0,inf,
automation_results_scenario_38,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.006047871476797,-5.006047871476797,0.0,98.0,98.0,inf,
automation_results_scenario_22,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014289241353868998,-0.014289241353868998,0.0,98.0,98.0,0.7935909063996036,0.8298972270955911
automation_results_scenario_37,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.261299495588493,-5.261299495588493,0.0,98.0,98.0,inf,
automation_results_scenario_46,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.827045447867552,-5.827045447867552,0.0,98.0,98.0,inf,
automation_results_scenario_53,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06144537733033956,-0.06144537733033956,0.0,97.0,97.0,0.6587577071901736,0.7809382084178716
automation_results_scenario_36,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.8397929369617465,0.8497409716622537
automation_results_scenario_23,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.9463740428975781,1.0078333593603985
automation_results_scenario_52,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.802684565339613,-5.802684565339613,0.0,97.0,97.0,inf,
automation_results_scenario_47,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-6.06967468176664,-6.06967468176664,0.0,98.0,98.0,inf,
automation_results_scenario_48,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.106827242363336,-5.106827242363336,0.0,97.0,97.0,inf,
automation_results_scenario_39,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.534280881361546,-5.534280881361546,0.0,98.0,98.0,inf,
automation_results_scenario_24,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.9858108759608274,0.9703835058165844
automation_results_scenario_31,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1428289996367988,-0.1428289996367988,0.0,97.0,97.0,0.689469284071056,0.8245945562610186
automation_results_scenario_40,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4007134385499995,-4.4007134385499995,0.0,92.0,92.0,inf,
automation_results_scenario_55,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.7516724471686929,0.8936683117243386
scenario_1,False,100,-15.854299999999997,12.0,-0.15840800000000002,0.09140289894746227,-0.3842,0.008000000000000007,,,,,,,
